sequence_id,pattern,repetition,id,index,comparator,adaptive_status,comparator_status,adaptive_actual_model,comparator_actual_model,identical_actual_model,adaptive_residency_condition,comparator_residency_condition,adaptive_minus_comparator_seconds,output_tokens_difference,gpu_allocation_fraction_difference,adaptive_minus_comparator_excluding_residency_audit_seconds
ro_dddd_1,DDDD,1,ro_dddd_1_t1,1,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,cold_start,cold_start,32.055534852,13,-0.337557996384212,32.053439765
ro_dddd_1,DDDD,1,ro_dddd_1_t1,1,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,-11.516019735,0,0.023950998151182512,-11.516700295
ro_dddd_1,DDDD,1,ro_dddd_1_t1,1,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,-21.072783293,0,0.023950998151182512,-21.074288024
ro_dddd_1,DDDD,1,ro_dddd_1_t2,2,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,37.640877267,45,-0.337557996384212,37.64112059
ro_dddd_1,DDDD,1,ro_dddd_1_t2,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,19.562139603000002,0,0.023950998151182512,19.562647416
ro_dddd_1,DDDD,1,ro_dddd_1_t2,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,9.675560799000003,0,0.023950998151182512,9.667806628000003
ro_dddd_1,DDDD,1,ro_dddd_1_t3,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,14.070571260999998,3,-0.337557996384212,14.071225916999998
ro_dddd_1,DDDD,1,ro_dddd_1_t3,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-2.6202411330000004,0,0.023950998151182512,-2.618159562
ro_dddd_1,DDDD,1,ro_dddd_1_t3,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-3.458528526000002,0,0.023950998151182512,-3.466011173000002
ro_dddd_1,DDDD,1,ro_dddd_1_t4,4,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,22.555705838999998,-7,-0.337557996384212,22.559800179999996
ro_dddd_1,DDDD,1,ro_dddd_1_t4,4,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,5.440995076999997,0,0.023950998151182512,5.4431644579999965
ro_dddd_1,DDDD,1,ro_dddd_1_t4,4,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,16.975992519,0,0.023950998151182512,16.971192902
ro_dddd_2,DDDD,1,ro_dddd_2_t1,1,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,cold_start,cold_start,28.907460459999996,-27,-0.38545999289006916,28.904988175999996
ro_dddd_2,DDDD,1,ro_dddd_2_t1,1,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,-6.357224680000002,0,0.025906846699296104,-6.357422897000002
ro_dddd_2,DDDD,1,ro_dddd_2_t1,1,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,8.960689458999994,0,-0.047901996505857136,8.951251080999993
ro_dddd_2,DDDD,1,ro_dddd_2_t2,2,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,13.610852878000001,-14,-0.38545999289006916,13.616823781
ro_dddd_2,DDDD,1,ro_dddd_2_t2,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,0.5604247789999999,0,0.025906846699296104,0.5607348939999999
ro_dddd_2,DDDD,1,ro_dddd_2_t2,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,8.547254297,0,-0.047901996505857136,8.540338694
ro_dddd_2,DDDD,1,ro_dddd_2_t3,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,22.867126325,-6,-0.38545999289006916,22.869011414000003
ro_dddd_2,DDDD,1,ro_dddd_2_t3,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,2.827249042000002,2,0.025906846699296104,2.826512864000002
ro_dddd_2,DDDD,1,ro_dddd_2_t3,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,5.679070677999999,0,-0.047901996505857136,5.667858183999999
