checkpoint_id,scenario_id,category,branch,stage,history_mode,restart_phase,expected_kind,status,recorded_route_policy,memory_required,nominal_model_size,generation_policy,fallback_from_model,generation_call_count,requested_generation_models,actual_generation_models
cm04_correction_prestore,cm04,relationship,correction,prestore,retained,before,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_correction_recalled,cm04,relationship,correction,recalled,retained,before,original,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_correction_corrected_retained,cm04,relationship,correction,corrected,retained,before,replacement,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_correction_corrected_fresh,cm04,relationship,correction,corrected,fresh,before,replacement,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_correction_historical_retained,cm04,relationship,correction,historical,retained,before,historical_control,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_correction_historical_fresh,cm04,relationship,correction,historical,fresh,before,historical_control,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_correction_restart_retained,cm04,relationship,correction,restart,retained,after,replacement,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_correction_restart_fresh,cm04,relationship,correction,restart,fresh,after,replacement,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_correction_restart_historical_retained,cm04,relationship,correction,restart_historical,retained,after,historical_control,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_correction_restart_historical_fresh,cm04,relationship,correction,restart_historical,fresh,after,historical_control,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_deletion_recalled,cm04,relationship,deletion,recalled,retained,before,original,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_deletion_deleted_retained,cm04,relationship,deletion,deleted,retained,before,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_deletion_deleted_fresh,cm04,relationship,deletion,deleted,fresh,before,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_deletion_deleted_historical_retained,cm04,relationship,deletion,deleted_historical,retained,before,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_deletion_restart_retained,cm04,relationship,deletion,restart,retained,after,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_deletion_restart_fresh,cm04,relationship,deletion,restart,fresh,after,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_deletion_restart_historical_retained,cm04,relationship,deletion,restart_historical,retained,after,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_expiry_before_retained,cm04,relationship,expiry,before,retained,before,original,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_expiry_before_fresh,cm04,relationship,expiry,before,fresh,before,original,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_expiry_at_retained,cm04,relationship,expiry,at,retained,before,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_expiry_at_fresh,cm04,relationship,expiry,at,fresh,before,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_expiry_after_retained,cm04,relationship,expiry,after,retained,before,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_expiry_restart_retained,cm04,relationship,expiry,restart,retained,after,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm04_expiry_restart_fresh,cm04,relationship,expiry,restart,fresh,after,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
